Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
58,33,42,2,1.6,3,0,0,0,1,0,0
37,12,63,4,2.1,3,0,0,0,1,0,0
51,27,53,1,1.6,2,0,0,0,1,0,0
47,21,39,3,0.6,2,0,0,0,1,1,0
46,20,74,4,2.6,3,104,0,0,1,0,0
29,4,83,4,2.2,2,0,0,0,1,1,0
41,16,109,3,1,1,0,1,0,1,0,0
56,29,42,4,2.5,2,0,0,0,0,0,0
43,17,21,3,1.5,1,0,0,0,0,0,0
56,30,64,3,2.5,1,0,0,0,0,0,0
35,11,65,3,2.8,1,240,0,0,1,0,0
61,35,112,4,1.7,3,0,0,0,0,1,0
61,36,119,2,5.4,2,0,0,0,1,0,1
30,6,72,1,0.1,1,207,0,0,0,0,0
30,4,11,1,0.1,2,0,0,0,1,1,0
48,24,90,1,2.6,2,334,0,0,1,0,0
38,12,45,4,1.2,2,138,0,0,1,0,0
52,28,79,1,2.7,2,0,0,0,1,1,0
49,23,23,1,1.4,3,0,0,0,0,0,0
59,34,52,2,1.6,3,75,0,0,1,0,0
37,12,60,4,2.1,3,217,0,0,1,0,0
48,24,21,4,0.6,1,0,0,0,1,1,0
32,8,20,1,0.5,3,102,0,0,1,0,0
61,35,38,2,0.3,1,0,0,0,0,0,0
36,11,23,4,0.2,3,0,0,0,1,0,0
39,14,21,1,0.6,3,101,0,0,0,0,0
27,3,43,1,1,3,0,0,0,1,0,0
55,31,63,3,2.67,1,0,0,0,1,0,0
59,35,58,1,0,2,0,0,0,1,0,0
32,8,183,1,6,1,0,0,0,0,0,0
57,33,122,2,6,1,153,1,1,1,1,0
55,30,70,3,2,2,0,0,0,1,1,0
54,30,70,1,1.6,3,251,0,0,1,1,0
58,32,12,4,0.7,3,0,0,0,1,0,0
37,12,81,1,2.8,1,0,0,0,0,0,0
54,28,102,3,1.7,2,0,0,0,1,0,0
59,35,121,1,2.9,1,0,0,0,0,1,0
30,5,178,2,6.7,1,0,0,0,0,0,0
35,10,23,4,0.2,3,0,0,0,1,0,0
26,0,102,4,2.3,3,0,0,0,0,0,0
43,19,31,4,0.3,1,156,0,0,1,0,0
60,34,29,2,0.3,1,0,0,0,1,0,0
54,28,85,4,4.9,1,0,0,0,1,0,0
46,20,70,4,2.9,1,0,0,0,0,1,0
31,7,71,1,0.1,1,78,1,0,0,0,0
61,37,13,2,0.3,3,0,0,0,1,0,0
45,19,22,3,1.5,1,0,0,0,1,1,0
58,34,84,4,1.6,2,0,0,0,1,0,0
58,34,55,1,0.8,1,168,0,0,1,1,0
53,27,64,4,2.6,1,0,0,0,1,1,0
62,36,41,2,1,3,154,1,0,1,0,0
26,2,48,3,0.7,2,0,0,0,1,0,0
52,26,91,1,4.3,2,0,0,1,1,1,1
32,8,22,4,0.7,2,0,0,0,1,1,0
64,39,73,3,2.2,1,0,1,0,0,1,0
34,10,19,4,0.4,2,0,0,0,0,0,0
32,8,128,2,4.33,1,0,0,0,1,0,0
62,36,135,2,5.2,2,0,0,0,1,0,1
54,29,82,3,3.7,2,0,0,0,1,0,1
53,29,20,1,0.2,1,0,1,1,1,1,0
41,17,45,1,1.8,1,172,1,0,1,0,0
53,27,122,1,2.4,1,330,0,0,0,0,0
60,34,44,2,0.3,1,192,0,0,1,0,0
63,38,32,1,1.5,2,0,0,0,0,0,0
36,11,72,1,2.8,1,224,0,0,0,0,0
43,18,38,1,0.5,3,144,0,0,1,0,0
43,18,41,1,0.5,3,0,0,0,0,0,0
54,30,79,4,1.6,2,0,0,0,1,0,0
55,30,79,2,0,3,0,0,0,0,0,0
33,7,80,2,1.5,3,0,0,0,1,1,0
36,12,51,3,2,1,214,0,0,1,0,0
45,21,11,4,0.2,1,106,0,0,1,1,0
31,4,28,1,2,2,0,0,0,0,0,0
36,12,59,3,2,1,216,0,0,0,0,0
43,18,50,4,1.9,3,0,0,0,0,0,0
57,32,81,2,3.7,1,226,0,0,1,1,0
66,40,30,2,0.7,3,86,0,0,0,0,0
41,16,52,2,2.2,3,0,0,0,1,0,0
30,4,40,1,0.3,1,0,0,0,1,0,0
64,38,38,2,0.3,1,186,0,0,1,1,0
47,23,90,1,2.7,1,323,0,0,0,0,0
58,33,138,2,3.9,1,0,0,0,1,0,0
59,35,14,2,1,1,107,0,0,1,0,0
32,8,79,1,0.1,1,0,0,0,0,0,0
46,21,13,2,0.7,3,0,0,0,1,0,0
35,11,160,4,5.7,3,0,1,0,0,0,1
46,22,83,3,0.7,1,0,0,0,0,0,0
55,31,124,2,0.3,1,0,0,0,1,0,0
63,37,11,1,0.8,2,102,0,0,0,1,0
37,11,22,3,0.1,2,114,0,0,0,0,0
29,5,123,2,0.6,1,0,0,0,1,0,0
46,20,122,3,3,3,0,0,1,1,1,1
59,35,43,4,1.3,1,0,0,0,1,0,0
54,30,39,2,0.8,1,0,0,0,0,1,0
31,7,42,1,2.4,2,0,0,0,1,1,0
52,25,44,3,1,2,135,0,0,1,0,0
61,35,38,2,1,3,0,0,0,0,0,0
28,3,45,2,1.6,3,0,0,0,1,1,0
26,0,42,4,1.3,3,0,1,0,0,0,0
44,18,129,1,5.7,1,0,0,0,1,0,0
60,35,35,3,0.2,1,169,0,0,1,0,0
38,14,25,4,0.4,2,101,0,0,1,0,0
53,28,19,4,0.8,1,106,0,0,0,1,0
47,22,44,1,1.4,3,0,0,0,1,1,0
54,29,98,1,0.1,3,0,0,0,0,0,0
57,32,74,4,0.7,1,0,0,0,0,1,0
60,35,65,2,1.5,1,220,0,0,0,1,0
40,16,65,2,3.2,1,0,0,0,1,0,0
39,13,31,2,0.8,3,0,0,0,0,0,0
59,35,45,1,1.8,3,0,0,0,1,0,0
50,25,32,2,0.7,2,0,0,0,1,0,0
49,23,49,1,1.2,2,0,0,0,1,1,0
30,3,172,3,3.4,2,0,0,0,0,1,1
40,14,39,1,2,1,0,0,0,1,0,0
44,18,53,1,0.2,1,0,0,0,1,0,0
53,28,48,2,1.9,2,0,0,0,1,0,0
38,13,62,3,0.7,2,0,1,0,1,0,0
