Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
43,18,85,1,4,3,287,0,0,1,0,0
65,41,79,3,2,3,0,0,0,0,0,0
52,28,178,3,5.4,3,147,0,0,1,0,1
39,14,155,2,3.9,1,0,0,0,1,0,0
54,28,33,2,0.4,3,0,0,0,1,0,0
31,5,72,3,1.6,1,0,0,0,1,0,0
34,8,40,2,2,3,89,0,0,0,0,0
39,15,31,1,1.4,3,88,0,0,1,1,0
49,23,114,1,0.3,1,286,0,0,1,0,0
58,32,73,2,2.3,3,224,0,0,1,1,0
57,32,124,1,0.2,2,0,0,0,1,0,1
27,3,59,4,0,1,90,1,0,1,0,0
54,30,133,2,2.6,3,0,0,0,0,0,1
33,9,145,1,4.3,1,437,0,0,1,0,0
37,12,42,3,0.7,2,0,0,0,1,1,0
36,10,29,4,1,1,0,0,0,1,1,0
57,27,68,1,1.4,3,0,0,0,1,0,0
52,27,61,4,1.8,3,207,0,0,0,0,0
39,13,39,2,0.8,3,0,0,0,0,0,0
59,33,89,4,1.9,2,0,0,0,1,1,0
56,29,41,4,2.5,2,0,0,0,0,0,0
24,-1,35,2,1.7,2,0,0,0,0,0,0
43,17,111,4,5.4,3,0,0,0,1,0,1
44,20,171,4,0.7,1,567,0,1,1,1,1
56,30,24,2,0.4,3,88,0,0,0,0,0
55,31,74,3,2.67,1,0,0,0,0,1,0
47,21,82,3,2.1,1,0,0,0,0,0,0
44,18,68,4,2.9,1,0,1,0,0,0,0
50,25,45,2,0.6,3,0,0,0,0,0,0
27,2,129,2,3.3,1,0,1,0,0,0,0
51,27,55,1,1.6,2,197,1,0,1,0,0
51,27,92,4,3,1,0,0,1,1,1,1
31,5,91,3,1.6,1,126,0,0,1,1,0
40,16,69,4,2.4,1,0,0,0,1,0,0
57,33,121,1,4.3,1,0,1,0,0,0,0
40,10,29,1,0.75,3,0,0,0,1,0,0
47,23,34,4,0.6,1,0,0,1,1,1,0
32,6,78,1,2.9,3,0,0,0,0,0,0
33,8,20,3,1.3,1,83,0,0,0,1,0
46,22,134,2,3.3,1,0,0,0,0,0,0
56,30,79,3,0.8,1,302,0,0,0,0,0
54,28,165,1,4.1,3,0,0,1,1,1,1
42,18,145,1,1.7,1,132,0,0,1,1,0
49,25,135,2,1.4,1,82,0,0,1,1,0
30,6,32,2,1,2,0,0,0,0,0,0
36,12,22,4,1,1,91,1,0,1,0,0
41,14,51,3,2.33,2,0,0,0,1,0,0
36,11,44,2,1.1,2,85,0,0,1,0,0
65,40,34,1,1.1,3,119,0,0,1,1,0
60,36,22,2,1,1,0,1,1,1,1,0
60,36,149,1,4.7,1,0,0,0,1,0,0
45,20,70,4,1.9,3,0,0,0,1,1,0
61,36,131,1,0.9,1,0,0,0,1,0,0
44,19,49,4,1.9,3,89,0,0,1,0,0
61,37,41,1,0.8,1,0,0,0,1,1,0
52,26,19,2,0.7,2,0,0,0,0,1,0
34,8,184,3,7.5,1,0,0,0,0,0,1
45,19,19,3,1.5,1,94,0,0,1,1,0
40,14,22,2,1.4,3,0,0,0,0,0,0
40,16,19,4,0.4,2,0,0,0,1,1,0
34,9,138,2,7.8,1,227,0,0,1,0,0
51,25,19,1,1.4,3,98,0,0,0,0,0
58,31,49,4,2.5,2,0,0,0,1,0,0
45,19,45,1,0.2,1,0,0,0,1,0,0
36,12,123,2,3,3,0,0,0,0,0,1
45,21,164,1,5,1,0,0,0,0,1,0
59,29,61,1,1.4,3,0,0,0,0,0,0
42,18,34,4,0.3,1,104,1,0,1,0,0
55,29,162,1,2.9,1,0,0,0,1,1,0
34,10,53,3,2.6,2,0,0,0,1,0,0
32,6,28,3,1,1,0,0,0,0,0,0
47,22,190,2,8.8,1,0,0,0,0,0,0
46,22,72,4,1.4,2,149,0,0,1,1,0
65,40,59,3,2.4,1,0,0,0,0,0,0
28,2,43,4,1.3,3,0,0,0,1,1,0
30,5,121,2,3.3,1,0,0,0,0,1,0
60,34,110,2,2,1,0,0,0,1,0,0
64,38,35,1,0.5,3,0,0,0,1,0,0
50,26,23,4,0.2,1,0,0,0,0,1,0
42,18,90,4,0.8,1,245,1,0,0,0,0
46,22,19,3,0.5,1,0,0,0,1,0,0
31,7,180,1,4.3,1,0,0,0,0,0,0
52,26,180,1,1,1,0,0,0,1,1,0
55,31,103,3,1.8,2,364,0,0,0,0,0
58,32,65,3,2.5,1,222,0,0,1,0,0
31,6,145,1,0.8,1,84,0,0,1,0,0
56,32,58,1,1.8,3,241,0,0,1,0,0
55,29,21,4,0.7,3,0,0,0,0,0,0
36,10,35,2,0.3,1,98,0,0,1,0,0
49,25,195,4,3,1,617,0,0,0,0,1
42,15,39,3,1,2,132,0,0,0,0,0
32,8,98,2,2,2,175,0,0,1,0,0
35,9,142,2,0,1,0,1,0,1,0,0
40,13,24,3,1,2,0,0,0,1,0,0
57,32,24,2,0.2,3,140,0,0,1,0,0
47,23,138,2,3.3,1,0,0,0,1,1,0
52,26,35,3,0.9,3,0,0,0,0,0,0
39,13,63,4,0.2,3,242,0,0,0,0,0
58,32,41,3,2.2,3,148,0,0,1,1,0
48,24,162,4,3.3,2,446,0,1,1,0,1
59,35,95,1,3.8,1,0,0,0,1,1,0
45,15,20,1,0.75,3,0,0,0,1,0,0
51,26,72,1,2.9,1,0,0,0,0,0,0
62,37,31,3,0.2,1,0,0,0,1,0,0
32,7,64,2,0.1,1,0,0,0,1,1,0
28,3,55,4,2.2,1,0,0,0,1,1,0
59,35,111,1,4.3,1,0,0,0,1,0,0
30,6,31,3,1,2,142,0,0,0,0,0
64,39,103,1,0.8,3,0,0,0,1,1,0
59,34,19,2,0.5,2,0,0,0,1,0,0
28,3,70,4,2.2,1,240,0,0,0,1,0
59,33,73,2,1.7,3,0,0,0,1,1,0
61,36,61,2,2.8,1,153,0,0,0,1,0
51,27,33,4,0.2,1,83,0,0,1,0,0
29,4,22,2,0.9,3,110,0,0,0,0,0
52,27,195,1,8.1,1,0,0,0,0,0,0
